frame,time_s,region,occupancy,current_flow_per_min,new_entry,count_motorbike,count_car,count_bus,count_truck
120,4.0,4,2,6.0,0,6,0,0,0
121,4.033,1,6,18.0,1,15,2,0,1
121,4.033,2,1,9.0,0,7,2,0,0
121,4.033,3,4,12.0,0,8,4,0,0
121,4.033,4,2,6.0,0,6,0,0,0
122,4.067,1,4,18.0,0,15,2,0,1
122,4.067,2,1,9.0,0,7,2,0,0
122,4.067,3,4,12.0,0,8,4,0,0
122,4.067,4,1,6.0,0,6,0,0,0
123,4.1,1,6,18.0,0,15,2,0,1
123,4.1,2,1,9.0,0,7,2,0,0
123,4.1,3,4,12.0,0,8,4,0,0
123,4.1,4,1,6.0,0,6,0,0,0
124,4.133,1,5,18.0,0,15,2,0,1
124,4.133,2,1,9.0,0,7,2,0,0
124,4.133,3,4,12.0,0,8,4,0,0
124,4.133,4,1,6.0,0,6,0,0,0
125,4.167,1,5,18.0,0,15,2,0,1
125,4.167,2,1,9.0,0,7,2,0,0
125,4.167,3,4,12.0,0,8,4,0,0
125,4.167,4,1,6.0,0,6,0,0,0
126,4.2,1,5,18.0,0,15,2,0,1
126,4.2,2,1,9.0,0,7,2,0,0
126,4.2,3,4,12.0,0,8,4,0,0
126,4.2,4,1,6.0,0,6,0,0,0
127,4.233,1,5,18.0,0,15,2,0,1
127,4.233,2,1,9.0,0,7,2,0,0
127,4.233,3,3,12.0,0,8,4,0,0
127,4.233,4,2,7.0,1,7,0,0,0
128,4.267,1,4,18.0,0,15,2,0,1
128,4.267,2,1,9.0,0,7,2,0,0
128,4.267,3,3,12.0,0,8,4,0,0
128,4.267,4,2,7.0,0,7,0,0,0
129,4.3,1,4,18.0,0,15,2,0,1
129,4.3,2,1,9.0,0,7,2,0,0
129,4.3,3,3,12.0,0,8,4,0,0
129,4.3,4,2,7.0,0,7,0,0,0
130,4.333,1,5,18.0,0,15,2,0,1
130,4.333,2,1,9.0,0,7,2,0,0
130,4.333,3,2,12.0,0,8,4,0,0
130,4.333,4,2,7.0,0,7,0,0,0
131,4.367,1,4,18.0,0,15,2,0,1
131,4.367,2,1,9.0,0,7,2,0,0
131,4.367,3,2,12.0,0,8,4,0,0
131,4.367,4,2,7.0,0,7,0,0,0
132,4.4,1,4,18.0,0,15,2,0,1
132,4.4,2,1,9.0,0,7,2,0,0
132,4.4,3,2,12.0,0,8,4,0,0
132,4.4,4,2,7.0,0,7,0,0,0
133,4.433,1,5,18.0,0,15,2,0,1
133,4.433,2,1,9.0,0,7,2,0,0
133,4.433,3,2,12.0,0,8,4,0,0
133,4.433,4,2,7.0,0,7,0,0,0
134,4.467,1,4,18.0,0,15,2,0,1
134,4.467,2,1,9.0,0,7,2,0,0
134,4.467,3,2,12.0,0,8,4,0,0
134,4.467,4,2,7.0,0,7,0,0,0
135,4.5,1,4,18.0,0,15,2,0,1
135,4.5,2,1,9.0,0,7,2,0,0
135,4.5,3,1,12.0,0,8,4,0,0
135,4.5,4,2,7.0,0,7,0,0,0
136,4.533,1,4,18.0,0,15,2,0,1
136,4.533,2,1,9.0,0,7,2,0,0
136,4.533,3,1,12.0,0,8,4,0,0
136,4.533,4,2,7.0,0,7,0,0,0
137,4.567,1,3,18.0,0,15,2,0,1
137,4.567,2,1,9.0,0,7,2,0,0
137,4.567,3,1,12.0,0,8,4,0,0
137,4.567,4,2,7.0,0,7,0,0,0
138,4.6,1,4,18.0,0,15,2,0,1
138,4.6,2,1,9.0,0,7,2,0,0
138,4.6,3,0,12.0,0,8,4,0,0
138,4.6,4,2,7.0,0,7,0,0,0
139,4.633,1,4,18.0,0,15,2,0,1
139,4.633,2,1,9.0,0,7,2,0,0
139,4.633,3,0,12.0,0,8,4,0,0
139,4.633,4,2,7.0,0,7,0,0,0
140,4.667,1,4,18.0,0,15,2,0,1
140,4.667,2,1,9.0,0,7,2,0,0
140,4.667,3,0,12.0,0,8,4,0,0
140,4.667,4,2,7.0,0,7,0,0,0
141,4.7,1,3,18.0,0,15,2,0,1
141,4.7,2,1,9.0,0,7,2,0,0
141,4.7,3,0,12.0,0,8,4,0,0
141,4.7,4,2,7.0,0,7,0,0,0
142,4.733,1,3,18.0,0,15,2,0,1
142,4.733,2,1,9.0,0,7,2,0,0
142,4.733,3,0,12.0,0,8,4,0,0
142,4.733,4,2,7.0,0,7,0,0,0
143,4.767,1,3,18.0,0,15,2,0,1
143,4.767,2,1,9.0,0,7,2,0,0
143,4.767,3,0,12.0,0,8,4,0,0
